nurse_id,name,team,competency_level,employment_type,max_nights_per_month,max_consecutive_work_days,allowed_shift_types,wanted_off
N001,김하린,CENTER,3,FULL_TIME,8,5,,"14,15"
N002,이서윤,CENTER,3,FULL_TIME,8,5,,
N003,박지우,A,3,FULL_TIME,8,5,N,
N004,최도윤,A,3,FULL_TIME,8,5,DN,
N005,정하윤,A,1,FULL_TIME,8,5,DN,
N006,조시우,A,2,FULL_TIME,8,5,EN,
N007,윤서아,A,2,FULL_TIME,8,5,DE,21
N008,한민재,B,3,FULL_TIME,8,5,DN,
N009,오유진,B,3,FULL_TIME,8,5,EN,
N010,서지호,B,1,FULL_TIME,8,5,DN,
N011,강나윤,B,2,FULL_TIME,8,5,EN,"11,12,13"
N012,임준서,B,2,FULL_TIME,8,5,DE,
N013,신예린,C,3,FULL_TIME,8,5,N,
N014,황지안,C,3,FULL_TIME,8,5,EN,
N015,송도현,C,1,FULL_TIME,8,5,EN,
N016,문서진,C,2,FULL_TIME,8,5,EN,
N017,백하은,C,2,FULL_TIME,8,5,DE,
N018,유태오,D,3,FULL_TIME,8,5,DN,
N019,남시아,D,3,FULL_TIME,8,5,DE,
N020,노현우,D,1,FULL_TIME,8,5,DE,"7,8,9"
N021,고채원,D,2,FULL_TIME,8,5,EN,
N022,배지후,D,2,FULL_TIME,8,5,DN,
N023,주다은,E,3,FULL_TIME,8,5,,
N024,안서준,E,2,FULL_TIME,8,5,,
