nurse_id,name,team,competency_level,employment_type,max_nights_per_month,max_consecutive_work_days,allowed_shift_types,wanted_off
N001,김하린,CENTER,3,FULL_TIME,8,5,,
N002,이서윤,CENTER,3,FULL_TIME,8,5,,
N003,박지우,TEAM_A,3,FULL_TIME,8,5,,
N004,최도윤,TEAM_A,3,FULL_TIME,8,5,,
N005,정하윤,TEAM_A,1,FULL_TIME,8,5,,
N006,조시우,TEAM_A,2,FULL_TIME,8,5,,
N007,윤서아,TEAM_A,2,FULL_TIME,8,5,,
N008,한민재,TEAM_A,2,FULL_TIME,8,5,,
N009,오유진,TEAM_B,3,FULL_TIME,8,5,,
N010,서지호,TEAM_B,3,FULL_TIME,8,5,,
N011,강나윤,TEAM_B,1,FULL_TIME,8,5,,
N012,임준서,TEAM_B,2,FULL_TIME,8,5,,
N013,신예린,TEAM_B,2,FULL_TIME,8,5,,
N014,황지안,TEAM_B,2,FULL_TIME,8,5,,
N015,송도현,TEAM_C,3,FULL_TIME,8,5,,
N016,문서진,TEAM_C,3,FULL_TIME,8,5,,
N017,백하은,TEAM_C,1,FULL_TIME,8,5,,
N018,유태오,TEAM_C,2,FULL_TIME,8,5,,
N019,남시아,TEAM_C,2,FULL_TIME,8,5,,
N020,노현우,TEAM_C,2,FULL_TIME,8,5,,
N021,고채원,TEAM_D,3,FULL_TIME,8,5,,
N022,배지후,TEAM_D,3,FULL_TIME,8,5,,
N023,주다은,TEAM_D,1,FULL_TIME,8,5,,
N024,안서준,TEAM_D,2,FULL_TIME,8,5,,
N025,마유나,TEAM_D,2,FULL_TIME,8,5,,
